food_name,category,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,density_g_per_cm3,avg_height_cm,avg_serving_g,calorie_uncertainty,food_type
adhirasam,dessert,420,5,65,15,2,0.75,2.5,80,0.15,solid
aloo_gobi,vegetable_curry,110,3.2,14,5,4,0.95,3,150,0.12,curry
aloo_matar,vegetable_curry,125,4,18,4,5,0.96,3.5,160,0.12,curry
aloo_methi,vegetable_curry,105,3,13,4.5,4,0.95,3,140,0.12,curry
aloo_shimla_mirch,vegetable_curry,115,3,15,5,3.5,0.95,3,150,0.12,curry
aloo_tikki,snack,220,4,28,10,3,0.85,2,90,0.15,solid
anarsa,dessert,410,4,70,12,2,0.78,2.5,75,0.15,solid
ariselu,dessert,430,5,68,14,2,0.76,2.5,80,0.15,solid
bandar_laddu,dessert,450,6,60,18,3,0.74,2.8,70,0.18,solid
basundi,dessert,260,7,28,12,0,1.03,4,120,0.1,semi_liquid
bhatura,bread,310,8,45,10,2,0.70,3,100,0.15,solid
bhindi_masala,vegetable_curry,95,2.5,10,5,4,0.93,3,140,0.12,curry
biryani,rice_dish,290,9,35,12,2,0.88,4,250,0.18,mixed
boondi,snack,405,6,55,18,1,0.72,2,60,0.18,solid
butter_chicken,nonveg_curry,260,15,6,18,1,1.02,4,180,0.15,curry
chak_hao_kheer,dessert,240,6,32,8,1,1.04,4,150,0.1,semi_liquid
cham_cham,dessert,300,6,45,9,0,0.98,3,85,0.15,solid
chana_masala,legume_curry,180,9,27,5,8,0.98,3.5,160,0.12,curry
chapati,bread,297,9,55,3,7,0.82,1,40,0.08,solid
chicken_razala,nonveg_curry,240,17,5,16,0,1.01,4,170,0.15,curry
chicken_tikka,nonveg,210,25,3,11,0,0.92,2.5,120,0.12,solid
chicken_tikka_masala,nonveg_curry,255,18,7,17,1,1.02,4,180,0.15,curry
chikki,dessert,480,10,52,26,3,0.80,2,50,0.18,solid
daal_baati_churma,mixed,410,12,52,17,6,0.85,3,220,0.2,mixed
daal_puri,bread,320,9,42,12,5,0.82,2.5,100,0.15,solid
dal_makhani,legume_curry,210,9,22,10,6,1.01,4,180,0.12,curry
dal_tadka,legume_curry,160,8,20,6,5,1.00,3.5,170,0.12,curry
dum_aloo,vegetable_curry,170,4,20,8,4,0.97,3.5,160,0.12,curry
gajar_ka_halwa,dessert,310,5,40,14,3,0.92,3,120,0.15,solid
gulab_jamun,dessert,380,6,52,17,0,0.90,3,70,0.18,solid
jalebi,dessert,400,5,65,15,0,0.78,2,60,0.18,solid
kadai_paneer,veg_curry,265,12,10,20,2,1.03,4,180,0.15,curry
kadhi_pakoda,curry,190,7,18,10,2,1.02,4,170,0.12,curry
kofta,veg_curry,240,10,14,16,3,0.98,3.5,150,0.15,curry
lassi,beverage,150,5,18,6,0,1.05,5,200,0.08,liquid
litti_chokha,mixed,320,10,48,9,8,0.87,3,200,0.15,mixed
makki_di_roti_sarson_da_saag,mixed,280,9,36,10,7,0.90,3.5,220,0.15,mixed
malapua,dessert,350,6,50,14,1,0.85,2.5,90,0.18,solid
modak,dessert,330,5,52,11,1,0.86,2.5,60,0.15,solid
mysore_pak,dessert,460,7,50,28,1,0.82,2,65,0.18,solid
naan,bread,310,9,50,7,2,0.80,2,90,0.12,solid
palak_paneer,veg_curry,230,11,8,17,3,1.03,4,170,0.12,curry
paneer_butter_masala,veg_curry,270,10,9,21,2,1.04,4,180,0.15,curry
phirni,dessert,210,6,30,7,0,1.03,4,140,0.1,semi_liquid
poha,rice_dish,180,4,32,4,2,0.85,2.5,150,0.12,solid
rabri,dessert,330,9,28,20,0,1.05,3.5,110,0.15,semi_liquid
ras_malai,dessert,290,8,32,14,0,1.02,3,90,0.15,solid
rasgulla,dessert,186,4,35,4,0,0.99,3,80,0.12,solid
shrikhand,dessert,250,8,30,10,0,1.04,3,120,0.12,semi_liquid
sohan_papdi,dessert,450,6,60,22,1,0.75,2.5,50,0.18,solid
unni_appam,dessert,360,5,52,14,1,0.83,2.5,70,0.15,solid

